"","Highest grade in school completed by child","Child has high school degree","Child enrolled in college","Child has college degree","Child's annual wage in 1993","Child's age in 1993","Child's gender 1 female 0 male","Child's race is black","Child's race is hispanic","Child's race is white","Child is born in USA","Child lived with both biological parents aged 0-18","Nr. years aged 0-18 child lived with 2 bio parents","Age child stopped living with 2 bio parents","Nr. years aged 0-18 child lived with bio mother","Nr. years aged 0-18 child lived with bio father","Child's number of siblings","Mother has less than high school degree","Mother has high school degree","Mother has more than high school degree","Mother's education in unknown","Father has less than high school degree","Father has high school degree","Father has more than high school degree","Father's education in unknown","Mother child when child was aged 0-18","Age child when mother died","Father child when child was aged 0-18","Age child when father died","Father has drinking problem","Mother has drinking problem","Age mother at birth of child","Age father at birth of child","Reason for change: parent died","Reason for change: parents divorced","Reason for change: Parent unable to care","Reason for change: Child left to get married","Reason for change: Child left to be on own","Reason for change: Parent was too ill","Reason for change: Court removed child","Reason for change: Child got in trouble","Reason for change: Child ran away","Reason for change: Child left for college","Reason for change: Child left for military","Reason for change: other","Reason for change: unknown","Region of residence is east","Region of residence is west","Region of residence is north","Region of residence is south","Region of residence is outside U.S.","Sampling weight"
"1616",15,1,1,0,27000,33,1,1,0,0,1,0,7,7,18,7,3,0,0,1,0,0,0,1,0,0,NA,1,1,0,0,30,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,188988
"1617",7,0,0,0,21000,31,0,0,0,1,1,0,7,7,18,7,2,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,23,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,558418
"1618",14,1,1,0,5000,34,1,0,1,0,1,0,7,0,18,7,2,0,0,1,0,1,0,0,0,0,NA,0,NA,1,0,27,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,136880
"1619",8,1,0,0,37500,29,0,0,0,1,1,0,7,7,16,7,3,0,1,0,0,NA,NA,NA,1,0,NA,0,NA,1,0,27,NA,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,723354
"1620",16,1,1,1,39750,34,1,0,0,1,1,0,7,7,18,7,NA,0,0,1,0,1,0,0,0,0,NA,0,NA,1,0,36,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,531552
"1621",15,0,1,0,20000,29,0,1,0,0,1,0,7,7,18,7,3,0,1,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,20,23,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,153409
"1622",12,1,0,0,NA,31,0,1,0,0,1,0,7,7,16,7,3,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,22,26,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,161730
"1623",12,1,0,0,19800,33,1,0,0,1,1,0,7,7,18,7,4,1,0,0,0,0,1,0,0,0,NA,0,NA,0,0,20,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,576425
"1624",13,1,1,0,22000,32,1,0,1,0,0,0,7,7,9,7,2,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,13,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,101982
"1625",12,1,0,0,18459,29,1,0,0,1,1,0,7,7,18,7,5,1,0,0,0,1,0,0,0,0,NA,1,7,1,1,40,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,478544
"1626",17,1,1,1,0,31,1,1,0,0,0,0,7,7,18,7,2,1,0,0,0,NA,NA,NA,1,1,7,0,NA,0,0,33,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,124320
"1627",12,1,0,0,0,32,1,1,0,0,1,0,7,7,15,7,1,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,22,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,170853
"1628",19,1,1,1,53500,30,0,0,0,1,1,0,7,3,18,7,NA,0,0,1,0,NA,NA,NA,1,0,NA,0,NA,1,0,23,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,577411
"1629",15,1,1,0,22750,28,1,1,0,0,1,0,7,7,17,7,2,0,0,1,0,0,0,1,0,0,NA,0,NA,0,0,23,NA,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,224197
"1630",13,0,1,0,47000,30,0,0,0,1,1,0,7,7,18,7,1,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,22,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,446596
"1631",12,1,0,0,2500,30,1,1,0,0,1,0,7,7,18,7,4,1,0,0,0,0,1,0,0,0,NA,1,7,0,0,29,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,187722
"1632",12,1,0,0,15000,32,1,0,0,1,1,0,6,5,16,7,8,1,0,0,0,1,0,0,0,0,NA,0,NA,1,1,43,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,530572
"1633",8,0,0,0,18000,32,0,1,0,0,1,0,7,7,17,7,9,1,0,0,0,0,1,0,0,0,NA,0,NA,0,0,37,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,188399
"1634",14,1,1,0,2300,29,0,1,0,0,1,0,7,7,18,7,1,0,1,0,0,0,0,1,0,0,NA,1,7,0,0,23,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,189980
"1635",12,1,0,0,27000,30,1,0,0,1,1,0,7,7,18,7,4,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,20,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,559708
"1636",15,1,1,1,20000,32,1,1,0,0,1,0,7,7,18,7,1,0,1,0,0,0,0,1,0,0,NA,0,NA,0,0,20,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,112158
"1637",18,1,1,1,25000,31,1,0,1,0,1,0,7,7,18,7,8,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,37,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,69095
"1638",15,1,1,1,0,33,0,1,0,0,1,0,7,7,18,7,3,0,0,1,0,0,1,0,0,0,NA,0,NA,0,0,19,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,289478
"1639",14,1,1,1,10000,29,1,1,0,0,1,0,7,7,18,7,4,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,24,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,210052
"1640",12,1,0,0,0,29,0,0,0,1,1,0,7,7,18,7,2,0,1,0,0,1,0,0,0,0,NA,0,NA,0,0,19,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,839843
"1641",12,1,0,0,NA,32,1,1,0,0,1,0,7,7,18,7,2,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,24,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,153872
"1642",12,1,1,1,36000,29,0,0,1,0,1,0,7,7,16,7,7,NA,NA,NA,1,NA,NA,NA,1,0,NA,1,7,0,0,33,46,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,169159
"1643",18,1,1,1,32000,31,1,1,0,0,1,0,7,2,18,7,8,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,24,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,103788
"1644",13,1,1,0,16000,30,1,0,0,1,1,0,7,7,18,7,3,0,0,1,0,0,0,1,0,0,NA,0,NA,1,0,30,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,524499
"1645",14,1,1,1,0,34,0,0,1,0,1,0,7,7,18,7,4,NA,NA,NA,1,0,1,0,0,0,NA,0,NA,0,0,36,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,132764
"1646",10,0,0,0,0,32,1,0,0,1,1,0,2,0,5,7,10,0,1,0,0,NA,NA,NA,1,0,NA,0,NA,1,0,NA,NA,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,518302
"1647",12,1,0,0,30000,33,0,0,0,1,1,0,7,7,18,7,1,0,0,1,0,0,1,0,0,0,NA,0,NA,1,0,20,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,643955
"1648",12,1,0,0,NA,29,0,1,0,0,1,0,7,7,18,7,7,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,26,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,177290
"1649",13,1,1,0,20000,28,1,0,0,1,1,0,7,7,18,7,1,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,20,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,741442
"1650",10,0,0,0,10952,31,1,0,0,1,1,0,7,7,16,7,3,0,1,0,0,0,0,1,0,1,16,0,NA,0,0,17,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,527705
"1651",12,1,0,0,9500,32,1,1,0,0,0,0,7,7,18,7,2,0,1,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,27,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157172
"1652",6,0,0,0,0,31,1,0,1,0,1,0,7,7,16,7,3,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,24,26,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,62865
"1653",12,1,0,0,17500,30,1,1,0,0,1,0,7,7,18,7,2,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,20,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,104481
"1654",9,0,0,0,23000,34,0,0,1,0,0,0,7,7,18,7,8,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91969
"1655",12,1,0,0,13000,31,1,1,0,0,1,0,7,7,18,7,4,0,1,0,0,0,1,0,0,0,NA,0,NA,1,0,21,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,175097
"1656",10,1,0,0,0,31,0,0,1,0,1,0,7,7,7,7,5,NA,NA,NA,1,NA,NA,NA,1,0,NA,1,7,0,0,43,43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,89741
"1657",10,0,0,0,0,29,1,1,0,0,1,0,7,7,18,7,8,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,26,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,140279
"1658",12,1,0,0,NA,35,1,1,0,0,1,0,7,7,18,7,6,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,1,0,36,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,122706
"1659",12,1,0,0,0,35,0,1,0,0,1,0,7,7,17,7,9,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,1,0,23,29,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,290678
"1660",12,1,0,0,NA,32,0,0,0,1,1,0,7,7,12,7,1,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,14,20,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,604953
"1661",9,0,0,0,15000,31,1,0,0,1,1,0,7,7,18,7,3,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,1,1,33,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,471343
"1662",14,1,1,0,26000,30,1,1,0,0,1,0,7,7,18,7,1,0,1,0,0,0,1,0,0,0,NA,0,NA,1,0,31,37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,133858
"1663",12,1,0,0,21000,30,0,0,0,1,1,0,7,7,18,7,3,0,1,0,0,0,1,0,0,0,NA,0,NA,1,0,23,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,481190
"1664",14,1,1,1,8000,31,1,0,0,1,1,0,7,7,18,7,6,NA,NA,NA,1,NA,NA,NA,1,0,NA,0,NA,1,0,23,27,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,542409
"1665",10,0,0,0,0,35,1,1,0,0,1,0,7,7,18,7,4,0,1,0,0,1,0,0,0,0,NA,1,7,0,0,37,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335651
"1666",10,0,0,0,22705,34,0,0,1,0,0,0,7,7,18,7,4,1,0,0,0,1,0,0,0,0,NA,1,7,0,0,31,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,132162
"1667",15,0,1,1,9200,30,0,0,0,1,1,0,7,7,18,7,2,0,1,0,0,1,0,0,0,1,7,0,NA,0,0,38,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,407368
"1668",16,1,1,1,0,29,1,0,0,1,1,0,7,7,18,7,NA,1,0,0,0,0,0,1,0,0,NA,0,NA,0,0,18,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,547810
"1669",12,1,0,0,6330,32,1,1,0,0,1,0,7,7,18,7,8,0,1,0,0,0,0,1,0,0,NA,0,NA,0,0,14,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,166900
"1670",17,1,1,1,34000,34,1,1,0,0,1,0,1,0,12,7,2,0,0,1,0,1,0,0,0,0,NA,1,9,1,0,29,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,322927
"1671",11,0,0,0,NA,28,1,1,0,0,1,0,7,7,17,7,5,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,17,36,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,189333
"1672",12,1,0,0,10000,29,1,0,1,0,1,0,7,7,18,7,3,1,0,0,0,0,1,0,0,0,NA,0,NA,0,0,18,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75506
"1673",9,0,0,0,6000,31,0,1,0,0,1,0,7,7,18,7,6,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,18,26,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,234500
"1674",19,1,1,1,21000,34,1,0,0,1,1,0,7,7,18,7,7,1,0,0,0,1,0,0,0,0,NA,1,6,0,0,34,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,529476
"1675",10,1,0,0,3000,31,0,0,0,1,1,0,8,8,18,8,4,0,1,0,0,NA,NA,NA,1,0,NA,1,NA,0,0,23,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,485039
"1676",17,1,1,0,42300,31,1,1,0,0,1,0,8,8,18,8,5,0,0,1,0,0,0,1,0,0,NA,0,NA,0,0,20,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,97367
"1677",8,1,0,0,11000,28,0,0,1,0,1,0,8,8,18,8,2,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,25,NA,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,140033
"1678",18,1,1,1,0,31,1,0,0,1,1,0,8,8,18,8,3,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,26,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,485853
"1679",16,1,1,1,24500,33,1,1,0,0,0,0,8,8,18,8,2,0,0,1,0,0,1,0,0,0,NA,0,NA,0,0,27,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,172528
"1680",13,1,1,0,30000,28,0,0,0,1,1,0,8,8,18,8,3,0,1,0,0,0,0,1,0,0,NA,0,NA,0,0,19,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,721034
"1681",12,1,0,0,0,35,0,1,0,0,1,0,8,8,18,8,6,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,32,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,241590
"1682",9,0,0,0,0,32,1,0,0,1,1,0,8,8,15,8,4,0,1,0,0,1,0,0,0,0,NA,0,NA,1,0,17,21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,468152
"1683",12,1,0,0,1000,29,1,1,0,0,1,0,8,8,18,8,8,0,0,1,0,1,0,0,0,0,NA,1,8,1,0,22,24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,280332
"1684",10,0,0,0,0,28,1,0,0,1,1,0,8,8,16,8,4,1,0,0,0,NA,NA,NA,1,0,NA,1,9,0,0,38,43,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,574418
"1685",10,0,0,0,17000,29,0,0,0,1,1,0,8,8,18,8,4,NA,NA,NA,1,NA,NA,NA,1,0,NA,0,NA,0,0,30,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,803812
"1686",14,1,1,0,15000,29,1,1,0,0,0,0,0,0,0,8,6,NA,NA,NA,1,0,1,0,0,0,NA,0,NA,0,0,21,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,140279
"1687",15,1,1,0,9000,28,1,1,0,0,1,0,8,8,18,8,2,0,0,1,0,0,0,1,0,0,NA,0,NA,0,0,19,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,249967
"1688",12,1,0,0,0,29,1,1,0,0,1,0,8,8,18,8,5,NA,NA,NA,1,NA,NA,NA,1,0,NA,0,NA,0,0,23,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,165891
"1689",11,1,0,0,34000,32,0,0,0,1,1,0,8,8,17,8,3,0,0,1,0,0,1,0,0,0,NA,1,8,0,0,30,32,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,492072
"1690",14,1,1,1,15000,35,0,0,0,1,1,0,8,8,18,8,4,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,23,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,721278
"1691",14,1,1,0,0,29,0,0,0,1,1,0,8,8,17,8,3,0,1,0,0,0,0,1,0,0,NA,0,NA,0,0,30,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,546631
"1692",11,0,0,0,0,35,0,1,0,0,1,0,8,8,18,8,7,1,0,0,0,1,0,0,0,0,NA,1,8,0,0,37,39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,347916
"1693",13,1,1,0,22000,32,0,0,0,1,1,0,8,8,17,8,5,0,1,0,0,0,1,0,0,0,NA,1,8,0,0,20,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,322119
"1694",12,1,0,0,7800,29,1,0,0,1,1,0,8,8,18,8,1,1,0,0,0,0,1,0,0,0,NA,0,NA,1,0,18,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,579429
"1695",14,1,1,0,42000,31,1,0,0,1,1,0,8,8,18,8,6,0,1,0,0,0,1,0,0,0,NA,0,NA,1,0,20,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,598908
"1696",9,1,0,0,3200,33,1,0,0,1,1,0,8,8,15,8,6,NA,NA,NA,1,0,1,0,0,0,NA,1,8,0,0,23,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,587692
"1697",12,1,0,0,12700,30,1,1,0,0,1,0,8,8,18,8,9,1,0,0,0,1,0,0,0,0,NA,1,9,0,0,27,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,124590
"1698",12,1,0,0,24000,28,1,0,0,1,1,0,8,8,18,8,4,0,1,0,0,0,1,0,0,0,NA,0,NA,1,0,30,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,587827
"1699",11,0,0,0,NA,28,0,0,0,1,1,0,8,8,18,8,3,0,1,0,0,0,1,0,0,0,NA,0,NA,1,1,22,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,567907
"1700",12,1,0,0,24000,29,1,0,1,0,1,0,8,8,18,8,4,0,1,0,0,1,0,0,0,0,NA,0,NA,0,0,25,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66043
"1701",16,1,1,1,0,30,0,0,0,1,1,0,8,8,18,8,2,0,0,1,0,0,0,1,0,0,NA,0,NA,1,0,24,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,613385
"1702",12,1,0,0,0,31,1,1,0,0,1,0,8,8,18,8,6,0,0,1,0,1,0,0,0,0,NA,0,NA,1,0,20,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,160845
"1703",14,1,1,0,34000,30,1,0,0,1,1,0,8,8,18,8,6,0,0,1,0,0,0,1,0,0,NA,0,NA,1,0,25,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,446789
"1704",14,1,1,0,14895,29,1,1,0,0,1,0,8,8,18,8,1,NA,NA,NA,1,NA,NA,NA,1,0,NA,0,NA,1,0,27,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,159040
"1705",13,1,1,0,19000,36,0,0,0,1,1,0,8,8,14,8,1,0,1,0,0,0,1,0,0,0,NA,1,8,0,0,20,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,760814
"1706",15,1,1,1,17000,33,1,1,0,0,1,0,8,8,18,8,2,0,1,0,0,1,0,0,0,0,NA,0,NA,1,0,23,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,167791
"1707",8,1,0,0,0,32,0,1,0,0,1,0,8,8,17,8,4,1,0,0,0,0,1,0,0,0,NA,1,8,1,1,26,52,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,180585
"1708",12,1,0,0,0,36,1,0,0,1,1,0,8,8,18,8,3,0,1,0,0,0,1,0,0,0,NA,1,8,0,0,27,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,585906
"1709",9,0,0,0,12000,32,1,0,0,1,1,0,8,8,18,8,3,0,1,0,0,0,1,0,0,0,NA,0,NA,1,0,27,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,523196
"1710",16,1,1,1,35000,30,0,1,0,0,1,0,8,0,18,8,2,0,0,1,0,0,1,0,0,0,NA,0,NA,0,0,39,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,182055
"1711",15,1,1,0,23000,30,0,1,0,0,1,0,8,8,10,8,8,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,16,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,95288
"1712",12,1,0,0,0,30,1,0,0,1,1,0,8,8,18,8,7,0,1,0,0,0,1,0,0,0,NA,0,NA,1,1,22,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,638063
"1713",16,1,1,1,27000,31,0,0,0,1,1,0,8,8,18,8,1,0,1,0,0,0,1,0,0,0,NA,1,1,0,0,23,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,500161
"1714",11,0,0,0,15000,30,1,0,0,1,1,0,8,8,16,8,4,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,23,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,564523
"1715",13,1,1,0,37000,29,0,1,0,0,1,0,8,8,18,8,3,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,22,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,151530
"1716",8,0,0,0,0,30,1,0,0,1,1,0,6,6,15,8,5,1,0,0,0,1,0,0,0,0,NA,0,NA,1,1,19,26,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,509145
"1717",13,1,1,0,2000,35,0,0,0,1,1,0,5,18,15,8,3,0,1,0,0,NA,NA,NA,1,0,NA,0,NA,1,0,26,32,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,884219
"1718",12,1,0,0,0,35,0,0,1,0,1,0,8,8,18,8,2,0,0,1,0,0,1,0,0,0,NA,0,NA,1,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,119440
"1719",16,1,1,1,8900,34,1,0,0,1,1,0,8,8,18,8,2,0,0,1,0,0,0,1,0,0,NA,1,8,0,0,36,39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,569520
"1720",11,0,0,0,0,33,1,1,0,0,1,0,8,8,18,8,2,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,25,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,162782
"1721",12,1,0,0,0,28,1,1,0,0,1,0,8,8,18,8,5,0,1,0,0,1,0,0,0,0,NA,0,NA,0,0,31,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,196175
"1722",11,1,0,0,12000,32,1,1,0,0,1,0,7,7,7,8,7,NA,NA,NA,1,NA,NA,NA,1,1,7,1,16,0,0,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,179000
"1723",15,1,1,0,13780,35,1,1,0,0,1,0,8,8,18,8,5,1,0,0,0,1,0,0,0,0,NA,1,8,0,0,29,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,188348
"1724",10,0,0,0,0,32,1,0,1,0,0,0,8,8,18,8,6,1,0,0,0,0,1,0,0,0,NA,0,NA,1,0,17,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91523
"1725",12,1,0,0,18000,32,1,0,1,0,1,0,8,8,18,8,3,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,17,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,121638
"1726",15,1,1,0,0,33,0,0,0,1,1,0,8,8,18,8,2,0,0,1,0,0,0,1,0,0,NA,0,NA,1,0,21,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,510436
"1727",13,1,1,0,NA,30,1,0,0,1,1,0,6,0,15,8,4,1,0,0,0,0,1,0,0,0,NA,0,NA,0,0,17,21,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,478544
"1728",14,1,1,0,16000,32,1,0,0,1,1,0,8,8,18,8,1,0,1,0,0,0,1,0,0,0,NA,1,8,1,0,26,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,489849
"1729",14,1,1,1,6000,34,1,0,1,0,1,0,8,8,18,8,3,0,1,0,0,0,1,0,0,0,NA,1,9,1,0,32,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,103049
"1730",9,1,0,0,28000,29,1,1,0,0,1,0,8,8,18,8,8,0,1,0,0,1,0,0,0,0,NA,1,8,1,0,33,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,230132
"1731",11,0,0,0,0,33,1,0,1,0,1,0,8,8,14,8,10,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,20,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,182570
"1732",12,1,0,0,15600,31,0,1,0,0,1,0,8,8,18,8,3,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,27,24,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91063
"1733",16,1,1,1,31200,29,0,0,0,1,1,0,8,8,11,8,3,1,0,0,0,0,1,0,0,0,NA,0,NA,1,0,22,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,493382
"1734",12,1,0,0,0,33,1,1,0,0,1,0,8,8,18,8,1,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,20,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,112309
