"","Highest grade in school completed by child","Child has high school degree","Child enrolled in college","Child has college degree","Child's annual wage in 1993","Child's age in 1993","Child's gender 1 female 0 male","Child's race is black","Child's race is hispanic","Child's race is white","Child is born in USA","Child lived with both biological parents aged 0-18","Nr. years aged 0-18 child lived with 2 bio parents","Age child stopped living with 2 bio parents","Nr. years aged 0-18 child lived with bio mother","Nr. years aged 0-18 child lived with bio father","Child's number of siblings","Mother has less than high school degree","Mother has high school degree","Mother has more than high school degree","Mother's education in unknown","Father has less than high school degree","Father has high school degree","Father has more than high school degree","Father's education in unknown","Mother child when child was aged 0-18","Age child when mother died","Father child when child was aged 0-18","Age child when father died","Father has drinking problem","Mother has drinking problem","Age mother at birth of child","Age father at birth of child","Reason for change: parent died","Reason for change: parents divorced","Reason for change: Parent unable to care","Reason for change: Child left to get married","Reason for change: Child left to be on own","Reason for change: Parent was too ill","Reason for change: Court removed child","Reason for change: Child got in trouble","Reason for change: Child ran away","Reason for change: Child left for college","Reason for change: Child left for military","Reason for change: other","Reason for change: unknown","Region of residence is east","Region of residence is west","Region of residence is north","Region of residence is south","Region of residence is outside U.S.","Sampling weight"
"24",8,1,0,0,1400,30,1,0,0,1,1,0,0,0,14,0,2,0,1,0,0,1,0,0,0,0,NA,0,NA,0,0,22,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,447028
"25",12,1,0,0,0,30,1,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,39,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,559708
"26",17,1,1,1,23000,35,0,1,0,0,0,0,0,0,14,0,7,0,1,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,27,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,145106
"27",12,1,0,0,16135,33,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,217020
"28",12,1,0,0,100,30,1,1,0,0,1,0,0,0,14,0,3,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,18,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,173724
"29",11,0,0,0,0,31,0,1,0,0,1,0,0,0,2,0,3,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,19,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,130157
"30",16,1,1,1,36000,32,0,0,0,1,1,0,0,0,18,0,1,0,1,0,0,1,0,0,0,0,NA,1,14,0,0,33,38,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,615685
"31",14,1,1,0,0,31,1,1,0,0,0,0,0,0,14,0,1,1,0,0,0,0,1,0,0,0,NA,0,NA,0,0,20,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,237936
"32",9,0,0,0,0,33,1,1,0,0,1,0,0,0,14,0,4,0,1,0,0,1,0,0,0,0,NA,0,NA,1,0,20,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,194062
"33",8,0,0,0,0,29,1,1,0,0,1,0,0,0,14,0,5,1,0,0,0,0,1,0,0,0,NA,0,NA,0,0,36,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,163383
"34",13,1,1,0,15000,32,0,1,0,0,1,0,0,0,18,0,2,0,0,1,0,NA,NA,NA,1,0,NA,0,NA,0,0,25,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,86111
"35",12,1,0,0,13000,29,0,1,0,0,1,0,0,0,18,0,8,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,27,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,147675
"36",13,1,1,0,38000,35,0,1,0,0,1,0,0,0,18,0,2,0,0,1,0,0,0,1,0,0,NA,0,NA,0,0,22,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,202621
"37",10,1,0,0,0,32,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,29,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,168830
"38",12,1,0,0,13000,31,1,1,0,0,1,0,0,0,18,0,3,0,1,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,24,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,169754
"39",12,1,0,0,19000,31,1,1,0,0,1,0,0,0,18,0,4,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,26,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,175581
"40",12,1,0,0,15000,29,0,1,0,0,1,0,0,0,18,0,7,NA,NA,NA,1,NA,NA,NA,1,0,NA,0,NA,0,0,26,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,68435
"41",15,1,1,0,15000,33,1,1,0,0,1,0,0,0,18,0,4,0,0,1,0,NA,NA,NA,1,0,NA,0,NA,0,1,29,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,159063
"42",15,1,1,0,19800,35,1,1,0,0,1,0,0,0,18,0,3,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,40,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,184664
"43",14,1,1,1,0,31,1,1,0,0,1,0,0,0,18,0,1,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,27,41,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,264627
"44",14,1,1,1,5000,34,0,1,0,0,1,0,0,0,2,0,NA,0,0,1,0,0,1,0,0,0,NA,0,NA,0,0,29,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,411119
"45",12,1,0,0,25000,35,1,1,0,0,1,0,0,0,6,0,1,1,0,0,0,NA,NA,NA,1,1,6,0,NA,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,148538
"46",13,1,1,0,6000,28,1,1,0,0,1,0,0,0,18,0,NA,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,31,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,203946
"47",16,1,1,1,44000,32,0,1,0,0,1,0,0,18,0,0,4,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,29,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,104832
"48",13,1,1,0,8000,28,0,0,0,1,1,0,0,0,17,0,1,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,24,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,605179
"49",8,0,0,0,4000,32,0,1,0,0,1,0,0,0,18,0,2,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,14,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,134035
"50",16,1,1,1,15000,29,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,35,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,583045
